code,regions,period,grains_and_legumes,sugarbeet,sunflower,soybeans,rapeseed,potatoes,vegetables,fruits_and_berries
0000000000,Україна ,2015,41.1,435.8,21.6,18.4,25.9,161.4,206.1,104.5
0100000000,Автономна Республіка Крим,2015,,,,,,,,
0500000000,Вінницька,2015,46.0,398.0,26.9,13.3,27.8,170.8,211.2,121.5
0700000000,Волинська,2015,39.4,370.9,20.6,14.9,34.1,161.0,215.3,87.6
1200000000,Дніпропетро́вська,2015,32.6,426.5,22.4,20.6,20.2,104.7,207.6,105.5
1400000000,Доне́цька,2015,28.5,201.0,16.7,5.3,22.9,111.3,144.1,142.4
1800000000,Житомирська,2015,41.8,496.1,23.3,16.9,25.1,200.6,262.9,123.1
2100000000,Закарпатська,2015,37.5,,17.6,29.8,24.8,160.2,211.3,101.6
2300000000,Запорізька,2015,29.0,,17.9,30.0,21.8,111.3,213.6,82.6
2600000000,Івано-Франківська,2015,45.1,515.7,22.4,18.7,21.9,158.5,162.7,55.3
3200000000,Київська,2015,51.4,560.9,25.2,16.4,27.8,152.8,202.4,80.8
3500000000,Кіровоградська,2015,41.0,356.6,21.4,16.6,21.2,130.7,140.7,54.7
4400000000,Луганська,2015,25.0,,15.7,6.0,15.2,127.6,182.5,61.8
4600000000,Львівська,2015,45.5,469.6,25.4,19.5,26.8,171.7,192.4,79.6
4800000000,Миколаївська,2015,30.5,572.4,19.7,12.6,20.1,103.8,248.6,71.9
5100000000,Одеська,2015,29.2,,18.1,14.0,21.1,133.1,145.0,106.1
5300000000,Полтавська,2015,57.4,487.5,26.9,22.1,25.6,205.5,217.5,184.8
5600000000,Рівненська,2015,45.0,429.1,22.8,18.1,32.0,178.4,182.5,145.4
5900000000,Сумська,2015,56.0,423.9,26.9,21.2,23.7,186.0,189.3,53.9
6100000000,Тернопільська,2015,49.7,440.5,24.1,16.3,31.8,160.2,220.8,123.9
6300000000,Харківська,2015,39.6,348.6,29.1,18.1,19.8,166.4,225.5,113.5
6500000000,Херсонська,2015,33.6,,16.2,33.3,18.1,121.4,301.4,85.2
6800000000,Хмельницька,2015,53.0,438.8,26.4,18.7,32.8,163.6,174.1,140.7
7100000000,Черкаська,2015,58.1,450.6,28.5,18.9,29.6,156.2,174.3,98.4
7300000000,Чернівецька,2015,44.9,298.3,20.0,15.3,21.7,173.0,183.0,112.6
7400000000,Чернігівська,2015,51.8,463.1,24.7,18.2,19.4,189.1,182.3,67.3
8000000000,Київ,2015,,,,,,,,
8500000000,Севастополь,2015,,,,,,,,
